SD,Romney total,Obama total,Pres total,Romney,Obama
01,19971,16736,37655,0.5304,0.4445
02,21167,18027,40039,0.5287,0.4502
03,18634,26765,46517,0.4006,0.5754
04,18388,19968,39353,0.4673,0.5074
05,19769,21229,42020,0.4705,0.5052
06,15566,27579,44298,0.3514,0.6226
07,13193,31116,45674,0.2889,0.6813
08,25757,17508,44162,0.5832,0.3964
09,23704,14762,39392,0.6017,0.3747
10,23948,19172,44062,0.5435,0.4351
11,16901,21518,39434,0.4286,0.5457
12,23982,17553,42463,0.5648,0.4134
13,24692,17671,43290,0.5704,0.4082
14,18430,19768,39412,0.4676,0.5016
15,24400,15789,41233,0.5918,0.3829
16,22258,17293,40598,0.5483,0.4260
17,20285,18739,39866,0.5088,0.4700
18,23957,15551,40625,0.5897,0.3828
19,18257,23472,43155,0.4231,0.5439
20,21983,20541,43592,0.5043,0.4712
21,21635,20466,43134,0.5016,0.4745
22,20857,16044,37679,0.5535,0.4258
23,22660,17876,41580,0.5450,0.4299
24,19554,17597,38160,0.5124,0.4611
25,20916,21276,43423,0.4817,0.4900
26,19838,21117,42090,0.4713,0.5017
27,15961,22887,39855,0.4005,0.5743
28,18477,22941,42543,0.4343,0.5392
29,25016,16569,42652,0.5865,0.3885
30,25818,16307,43021,0.6001,0.3790
31,27267,16615,44923,0.6070,0.3699
32,23852,17935,42813,0.5571,0.4189
33,30211,20631,51738,0.5839,0.3988
34,26979,21488,49384,0.5463,0.4351
35,24922,19525,45444,0.5484,0.4296
36,21225,22884,45046,0.4712,0.5080
37,21132,22878,45109,0.4685,0.5072
38,25466,21831,48312,0.5271,0.4519
39,24861,22230,48010,0.5178,0.4630
40,10295,24489,35536,0.2897,0.6891
41,16230,26860,44241,0.3669,0.6071
42,21464,26477,49077,0.4374,0.5395
43,19053,26394,46459,0.4101,0.5681
44,24435,26431,51676,0.4729,0.5115
45,17183,28934,47290,0.3634,0.6118
46,15915,31487,48584,0.3276,0.6481
47,26924,17490,45281,0.5946,0.3863
48,24020,24422,49363,0.4866,0.4947
49,24785,27956,53487,0.4634,0.5227
50,16865,26908,44878,0.3758,0.5996
51,21075,25177,47302,0.4455,0.5323
52,19586,25850,46458,0.4216,0.5564
53,21709,23912,46459,0.4673,0.5147
54,20062,23243,44432,0.4515,0.5231
55,24154,17946,43062,0.5609,0.4167
56,22326,21601,44916,0.4971,0.4809
57,22666,23255,46865,0.4836,0.4962
58,25138,19051,45107,0.5573,0.4224
59,6071,31886,38863,0.1562,0.8205
60,8149,33123,43267,0.1883,0.7655
61,10669,42429,54416,0.1961,0.7797
62,3514,31370,36301,0.0968,0.8642
63,9412,38559,49353,0.1907,0.7813
64,12240,37709,51351,0.2384,0.7343
65,6207,29716,37050,0.1675,0.8021
66,10959,29328,41355,0.2650,0.7092
67,7230,24310,32376,0.2233,0.7509
