GISJOIN,YEAR,STATE,DISTRICT,CHAMBER,population,med_age,pct_white,med_income
G27001A,2010-2014,Minnesota,01A,"State House District 01A (2014), Minnesota",39528,41.9,0.93,50148
G27001B,2010-2014,Minnesota,01B,"State House District 01B (2014), Minnesota",39707,40,0.90,51338
G27002A,2010-2014,Minnesota,02A,"State House District 02A (2014), Minnesota",39682,40.2,0.79,47831
G27002B,2010-2014,Minnesota,02B,"State House District 02B (2014), Minnesota",40233,42.6,0.82,45839
G27003A,2010-2014,Minnesota,03A,"State House District 03A (2014), Minnesota",39283,50.4,0.92,46279
G27003B,2010-2014,Minnesota,03B,"State House District 03B (2014), Minnesota",40062,42.3,0.94,62558
G27004A,2010-2014,Minnesota,04A,"State House District 04A (2014), Minnesota",40900,29.2,0.88,52188
G27004B,2010-2014,Minnesota,04B,"State House District 04B (2014), Minnesota",40129,41.4,0.93,53619
G27005A,2010-2014,Minnesota,05A,"State House District 05A (2014), Minnesota",40344,37.4,0.76,42018
G27005B,2010-2014,Minnesota,05B,"State House District 05B (2014), Minnesota",39895,46.6,0.94,46781
G27006A,2010-2014,Minnesota,06A,"State House District 06A (2014), Minnesota",38972,44.7,0.94,43036
G27006B,2010-2014,Minnesota,06B,"State House District 06B (2014), Minnesota",39628,47.4,0.94,46724
G27007A,2010-2014,Minnesota,07A,"State House District 07A (2014), Minnesota",38804,29.4,0.90,46550
G27007B,2010-2014,Minnesota,07B,"State House District 07B (2014), Minnesota",40211,36,0.89,38834
G27008A,2010-2014,Minnesota,08A,"State House District 08A (2014), Minnesota",39921,46.5,0.93,51738
G27008B,2010-2014,Minnesota,08B,"State House District 08B (2014), Minnesota",39586,44.7,0.97,49150
G27009A,2010-2014,Minnesota,09A,"State House District 09A (2014), Minnesota",39102,43.6,0.96,46225
G27009B,2010-2014,Minnesota,09B,"State House District 09B (2014), Minnesota",39275,41.5,0.94,47598
G27010A,2010-2014,Minnesota,10A,"State House District 10A (2014), Minnesota",39567,40.2,0.96,48884
G27010B,2010-2014,Minnesota,10B,"State House District 10B (2014), Minnesota",39297,50.3,0.95,45917
G27011A,2010-2014,Minnesota,11A,"State House District 11A (2014), Minnesota",39644,41.2,0.88,53881
G27011B,2010-2014,Minnesota,11B,"State House District 11B (2014), Minnesota",39103,42.8,0.91,44756
G27012A,2010-2014,Minnesota,12A,"State House District 12A (2014), Minnesota",39566,43.9,0.95,50582
G27012B,2010-2014,Minnesota,12B,"State House District 12B (2014), Minnesota",39766,41.8,0.94,54753
G27013A,2010-2014,Minnesota,13A,"State House District 13A (2014), Minnesota",40017,35.8,0.95,60500
G27013B,2010-2014,Minnesota,13B,"State House District 13B (2014), Minnesota",40278,34.9,0.93,64249
G27014A,2010-2014,Minnesota,14A,"State House District 14A (2014), Minnesota",40342,31.8,0.84,52577
G27014B,2010-2014,Minnesota,14B,"State House District 14B (2014), Minnesota",39404,28.8,0.85,39496
G27015A,2010-2014,Minnesota,15A,"State House District 15A (2014), Minnesota",39457,39.6,0.92,53370
G27015B,2010-2014,Minnesota,15B,"State House District 15B (2014), Minnesota",40483,37.6,0.97,72051
G27016A,2010-2014,Minnesota,16A,"State House District 16A (2014), Minnesota",39166,39.1,0.90,51255
G27016B,2010-2014,Minnesota,16B,"State House District 16B (2014), Minnesota",39182,43.3,0.93,49071
G27017A,2010-2014,Minnesota,17A,"State House District 17A (2014), Minnesota",38478,44,0.92,52022
G27017B,2010-2014,Minnesota,17B,"State House District 17B (2014), Minnesota",39576,40.1,0.84,51754
G27018A,2010-2014,Minnesota,18A,"State House District 18A (2014), Minnesota",39452,40.7,0.94,54915
G27018B,2010-2014,Minnesota,18B,"State House District 18B (2014), Minnesota",39111,39.6,0.91,56025
G27019A,2010-2014,Minnesota,19A,"State House District 19A (2014), Minnesota",40182,34.9,0.91,59209
G27019B,2010-2014,Minnesota,19B,"State House District 19B (2014), Minnesota",40092,26.3,0.88,44518
G27020A,2010-2014,Minnesota,20A,"State House District 20A (2014), Minnesota",40286,37.4,0.94,71275
G27020B,2010-2014,Minnesota,20B,"State House District 20B (2014), Minnesota",40166,33.5,0.89,65848
G27021A,2010-2014,Minnesota,21A,"State House District 21A (2014), Minnesota",39504,44.1,0.93,54012
G27021B,2010-2014,Minnesota,21B,"State House District 21B (2014), Minnesota",40047,40.3,0.93,58500
G27022A,2010-2014,Minnesota,22A,"State House District 22A (2014), Minnesota",38902,44.2,0.94,49525
G27022B,2010-2014,Minnesota,22B,"State House District 22B (2014), Minnesota",39630,39.2,0.75,49102
G27023A,2010-2014,Minnesota,23A,"State House District 23A (2014), Minnesota",39092,45.9,0.93,50529
G27023B,2010-2014,Minnesota,23B,"State House District 23B (2014), Minnesota",39513,40.8,0.90,57107
G27024A,2010-2014,Minnesota,24A,"State House District 24A (2014), Minnesota",39484,38.7,0.87,53138
G27024B,2010-2014,Minnesota,24B,"State House District 24B (2014), Minnesota",39830,39.1,0.83,57568
G27025A,2010-2014,Minnesota,25A,"State House District 25A (2014), Minnesota",40407,34.7,0.88,80407
G27025B,2010-2014,Minnesota,25B,"State House District 25B (2014), Minnesota",39922,36,0.81,63193
G27026A,2010-2014,Minnesota,26A,"State House District 26A (2014), Minnesota",41468,35.3,0.73,50302
G27026B,2010-2014,Minnesota,26B,"State House District 26B (2014), Minnesota",39746,40.9,0.92,83761
G27027A,2010-2014,Minnesota,27A,"State House District 27A (2014), Minnesota",39213,44.4,0.89,46404
G27027B,2010-2014,Minnesota,27B,"State House District 27B (2014), Minnesota",39813,39,0.83,47979
G27028A,2010-2014,Minnesota,28A,"State House District 28A (2014), Minnesota",39200,33,0.94,45996
G27028B,2010-2014,Minnesota,28B,"State House District 28B (2014), Minnesota",39701,43.9,0.97,52253
G27029A,2010-2014,Minnesota,29A,"State House District 29A (2014), Minnesota",39770,38,0.96,68450
G27029B,2010-2014,Minnesota,29B,"State House District 29B (2014), Minnesota",39963,34.9,0.93,70027
G27030A,2010-2014,Minnesota,30A,"State House District 30A (2014), Minnesota",40060,35.2,0.92,74465
G27030B,2010-2014,Minnesota,30B,"State House District 30B (2014), Minnesota",40616,33.8,0.91,87561
G27031A,2010-2014,Minnesota,31A,"State House District 31A (2014), Minnesota",39073,36.1,0.93,73049
G27031B,2010-2014,Minnesota,31B,"State House District 31B (2014), Minnesota",40330,41.5,0.95,84951
G27032A,2010-2014,Minnesota,32A,"State House District 32A (2014), Minnesota",40161,38,0.94,57853
G27032B,2010-2014,Minnesota,32B,"State House District 32B (2014), Minnesota",40118,39.1,0.95,71790
G27033A,2010-2014,Minnesota,33A,"State House District 33A (2014), Minnesota",41233,44.1,0.93,95238
G27033B,2010-2014,Minnesota,33B,"State House District 33B (2014), Minnesota",40663,43.4,0.93,91858
G27034A,2010-2014,Minnesota,34A,"State House District 34A (2014), Minnesota",41290,37.9,0.88,99429
